      Z[km]    P [dyn/cm^2]  Rho [g/cm^2]     T[K]
      495.944      945.587  3.29248e-09      4348.19
      472.641      1181.22  4.11280e-09      4349.68
      449.339      1475.36  5.13562e-09      4351.90
      426.036      1842.40  6.40970e-09      4355.21
      402.734      2299.73  7.99295e-09      4360.13
      379.431      2871.67  9.96541e-09      4367.43
      356.129      3583.30  1.24063e-08      4378.14
      332.826      4468.20  1.54174e-08      4393.73
      309.524      5565.87  1.91098e-08      4416.20
      286.221      6924.63  2.36068e-08      4448.13
      262.919      8598.93  2.90281e-08      4492.45
      239.617      10651.4  3.54883e-08      4552.14
      216.314      13155.5  4.31050e-08      4629.31
      193.012      16180.3  5.19649e-08      4723.36
      169.709      19819.7  6.22425e-08      4830.93
      146.407      24167.8  7.41632e-08      4944.46
      123.104      29330.8  8.79881e-08      5057.19
      99.8018      35446.0  1.04037e-07      5166.16
      76.4994      42658.5  1.22690e-07      5275.39
      53.1969      51149.8  1.43832e-07      5395.20
      29.8944      61069.6  1.67226e-07      5539.17
      6.59198      72562.5  1.92440e-07      5718.58
     -16.7105      85677.6  2.18466e-07      5948.99
     -40.0129      100431.  2.43234e-07      6260.89
     -63.3154      116637.  2.62110e-07      6743.30
     -86.6179      133629.  2.69885e-07      7487.48
     -109.920      151130.  2.78690e-07      8165.63
     -133.223      169301.  2.91919e-07      8683.04
     -156.525      188475.  3.08207e-07      9095.91
     -179.828      208738.  3.26665e-07      9439.28
     -203.130      230225.  3.46879e-07      9735.03
     -226.433      253118.  3.68735e-07      9997.00
     -249.735      277353.  3.91985e-07      10231.9
     -273.038      303217.  4.16799e-07      10447.5
     -296.340      330660.  4.43034e-07      10646.6
     -319.643      359893.  4.70769e-07      10833.2
     -342.945      390863.  4.99888e-07      11008.5
     -366.247      423855.  5.30620e-07      11175.3
     -389.550      458749.  5.62845e-07      11333.8
     -412.852      495825.  5.96754e-07      11486.2
     -436.155      535029.  6.32177e-07      11632.6
     -459.457      576574.  6.69273e-07      11774.0
     -482.760      620712.  7.08245e-07      11911.7
     -506.062      667234.  7.48936e-07      12045.0
     -529.365      716445.  7.91538e-07      12175.0
     -552.667      768442.  8.35982e-07      12302.0
     -575.970      823507.  8.82475e-07      12426.6
     -599.272      881470.  9.30858e-07      12548.4
     -622.575      942538.  9.81329e-07      12667.9
     -645.877  1.00702e+06  1.03415e-06      12785.7
     -669.179  1.07484e+06  1.08904e-06      12901.4
     -692.482  1.14647e+06  1.14630e-06      13015.9
     -715.784  1.22160e+06  1.20565e-06      13128.5
     -739.087  1.30062e+06  1.26741e-06      13239.7
     -762.389  1.38394e+06  1.33200e-06      13350.0
     -785.692  1.47120e+06  1.39902e-06      13458.8
     -808.994  1.56279e+06  1.46851e-06      13566.5
     -832.297  1.65923e+06  1.54078e-06      13673.6
     -855.599  1.76014e+06  1.61556e-06      13779.6
     -878.902  1.86619e+06  1.69340e-06      13884.9
     -902.204  1.97688e+06  1.77402e-06      13989.0
     -925.507  2.09315e+06  1.85799e-06      14092.8
     -948.809  2.21483e+06  1.94477e-06      14195.9
     -972.111  2.34246e+06  2.03476e-06      14298.6
     -995.414  2.47558e+06  2.12761e-06      14400.4
     -1018.72  2.61489e+06  2.22388e-06      14501.9
     -1042.02  2.76029e+06  2.32354e-06      14602.7
     -1065.32  2.91236e+06  2.42700e-06      14703.2
     -1088.62  3.07106e+06  2.53381e-06      14803.2
     -1111.93  3.23719e+06  2.64437e-06      14903.2
     -1135.23  3.40986e+06  2.75808e-06      15002.5
     -1158.53  3.59049e+06  2.87583e-06      15101.7
     -1181.83  3.77873e+06  2.99741e-06      15200.6
     -1205.14  3.97482e+06  3.12315e-06      15299.2
     -1228.44  4.17900e+06  3.25316e-06      15397.5
     -1251.74  4.39154e+06  3.38710e-06      15495.5
     -1275.04  4.61270e+06  3.52495e-06      15593.4
     -1298.35  4.84357e+06  3.66732e-06      15691.3
     -1321.65  5.08288e+06  3.81344e-06      15788.8
     -1344.95  5.33221e+06  3.96438e-06      15886.3
     -1368.25  5.59134e+06  4.12017e-06      15983.6
     -1391.56  5.86056e+06  4.28103e-06      16080.9
     -1414.86  6.14018e+06  4.44646e-06      16178.0
     -1438.16  6.43052e+06  4.61640e-06      16275.0
     -1461.46  6.73189e+06  4.79101e-06      16371.9
     -1484.77  7.04525e+06  4.97087e-06      16469.0
     -1508.07  7.37022e+06  5.15577e-06      16566.0
     -1531.37  7.70673e+06  5.34567e-06      16662.8
     -1554.67  8.05563e+06  5.54122e-06      16759.6
     -1577.98  8.41728e+06  5.74265e-06      16856.4
     -1601.28  8.79204e+06  5.94941e-06      16953.2
     -1624.58  9.18030e+06  6.16151e-06      17050.0
     -1647.88  9.58242e+06  6.37898e-06      17146.8
     -1671.19  9.99881e+06  6.60204e-06      17243.7
     -1694.49  1.04297e+07  6.83083e-06      17340.7
     -1717.79  1.08758e+07  7.06594e-06      17437.7
     -1741.09  1.13374e+07  7.30762e-06      17534.9
     -1764.40  1.18133e+07  7.55531e-06      17631.8
     -1787.70  1.23073e+07  7.81018e-06      17729.1
     -1811.00  1.28162e+07  8.07022e-06      17826.2
     -1834.30  1.33424e+07  8.33652e-06      17923.5
     -1857.60  1.38862e+07  8.60929e-06      18020.9
     -1880.91  1.44480e+07  8.88867e-06      18118.5
     -1904.21  1.50286e+07  9.17488e-06      18216.2
     -1927.51  1.56260e+07  9.46725e-06      18313.8
     -1950.81  1.62430e+07  9.76724e-06      18411.6
     -1974.12  1.68799e+07  1.00753e-05      18509.5
     -1997.42  1.75374e+07  1.03907e-05      18607.6
     -2020.72  1.82159e+07  1.07130e-05      18706.0
